lemma_9907.lean | SUCCESS | exact Eq.symm (Int.emod_add_mul_ediv a b)
lemma_8117.lean | SUCCESS | exact Eq.symm (Int.mul_ediv_self x b)
lemma_1544.lean | SUCCESS | exact Eq.symm Std.max_eq_if
lemma_16048.lean | SUCCESS | exact Eq.symm ((fun {b a c} => Int.sub_eq_iff_eq_add'.mp) rfl)
lemma_3485.lean | SUCCESS | exact List.length_take_le n xs
lemma_1895.lean | SUCCESS | exact Eq.symm List.getLast!_eq_getElem!
lemma_5427.lean | SUCCESS | exact Bool.eq_false_or_eq_true (x % 2 == 0)
lemma_4152.lean | SUCCESS | exact List.Perm.swap b a l
lemma_3446.lean | SUCCESS | exact Array.extract_eq_empty_of_eq_empty rfl
lemma_9531.lean | SUCCESS | exact fun i a => Or.symm (Nat.lt_or_ge n (i * i))
lemma_15885.lean | SUCCESS | exact Or.symm (Int.lt_or_le (Int.ofNat m) (Int.ofNat rows))
lemma_583.lean | SUCCESS | exact Nat.eq_mul_of_div_eq_right h hq
lemma_9864.lean | SUCCESS | exact Eq.symm (Int.mul_ediv_cancel_of_emod_eq_zero h)
lemma_5532.lean | SUCCESS | exact Or.symm (Nat.lt_or_ge right left)
lemma_5618.lean | SUCCESS | exact Int.le_max_left 0 (t - s)
lemma_1095.lean | SUCCESS | exact Eq.symm (Nat.div_div_eq_div_mul m a b)
lemma_8465.lean | SUCCESS | exact Array.any_eq_true'
lemma_1375.lean | SUCCESS | exact Int.ediv_add_emod' k 2
lemma_11028.lean | SUCCESS | exact Nat.zero_lt_of_lt h
lemma_561.lean | SUCCESS | exact Nat.pow_succ'
lemma_832.lean | SUCCESS | exact List.isPerm_iff
lemma_11064.lean | SUCCESS | exact Nat.le_sub_one_of_lt h
lemma_7302.lean | SUCCESS | exact List.length_eq_one_iff.mp h_len
lemma_9422.lean | SUCCESS | exact List.Pairwise.take h
lemma_3471.lean | SUCCESS | exact Int.le_max_right a (a + b)
lemma_4208.lean | SUCCESS | exact List.mem_of_mem_take h
lemma_8675.lean | SUCCESS | exact Nat.add_lt_iff_lt_sub_right
lemma_15010.lean | SUCCESS | exact Int.zero_le_ofNat (x / y)
lemma_13918.lean | SUCCESS | exact List.length_take_le' n l
lemma_4052.lean | SUCCESS | exact List.merge_perm_append fun a b => decide (a ≤ b)
lemma_1958.lean | SUCCESS | exact List.max?_mem rfl
lemma_12822.lean | SUCCESS | exact Array.idxOf_lt_size_iff.mpr hx
lemma_12267.lean | SUCCESS | exact if_neg h
lemma_15876.lean | SUCCESS | exact Or.symm (Int.lt_or_le n 0)
